X,y
2014.36,29.162
2014.36,27.8212
2014.37,26.4804
2014.37,25.1397
2014.38,23.7989
2014.38,22.4581
2014.39,21.1173
2014.4,19.7765
2014.4,16.7784
2014.4,18.4358
2014.41,17.095
2014.41,15.7542
2014.43,14.432
2014.46,15.568
2014.47,16.2197
2014.5,16.7784
2014.54,17.2626
2014.6,16.3128
2014.6,16.2011
2014.64,15.1769
2014.68,13.7989
2014.74,12.5885
2014.81,11.9739
2014.88,12.4022
2014.93,13.4823
2014.96,14.8045
2014.99,16.1453
2015.02,17.4674
2015.05,18.7523
2015.07,20.0372
2015.09,21.3408
2015.11,22.6629
2015.13,23.9851
2015.15,25.3073
2015.16,26.6294
2015.18,27.9516
2015.2,29.2924
2015.23,30.5773
2015.26,31.825
2015.26,33.1471
2015.27,31.676
2015.28,30.3352
2015.29,28.9944
2015.29,27.6536
2015.3,26.3128
2015.31,24.9721
2015.32,23.6313
2015.33,22.2905
2015.34,20.9497
2015.35,19.6089
2015.35,18.2682
2015.36,16.9274
2015.37,15.5866
2015.38,14.2458
2015.39,12.9236
2015.4,11.5829
2015.41,10.2421
2015.42,8.9013
2015.5,8.21229
2015.53,9.49721
2015.56,10.838
2015.57,11.5642
2015.58,12.1974
2015.6,12.8678
2015.63,13.4078
2015.65,14.0782
2015.71,14.0223
2015.74,13.4823
2015.81,13.4637
2015.85,14.6927
2015.89,15.9218
2015.9,17.2439
2015.91,18.5847
2015.92,19.9255
2015.92,21.2663
2015.93,22.6071
2015.94,23.9479
2015.95,25.27
2015.95,26.6108
2015.96,27.9516
2015.97,29.2924
2015.98,30.6331
2015.98,31.9739
2015.99,33.3147
2016,34.6555
2016,35.9963
2016.01,37.3184
2016.02,38.6592
2016.03,40
2016.03,41.3408
2016.04,42.6816
2016.04,44.0223
2016.05,45.3631
2016.06,46.7039
2016.07,48.0447
2016.07,49.3855
2016.08,50.7263
2016.09,52.067
2016.09,53.4078
2016.1,54.7486
2016.1,56.0894
2016.11,57.4302
2016.12,58.7709
2016.13,60.0931
2016.13,61.4339
2016.14,62.7747
2016.15,64.1155
2016.16,65.4562
2016.16,66.797
2016.17,68.1378
2016.17,69.4786
2016.18,71.9739
2016.18,70.8194
2016.19,72.1601
2016.19,73.5009
2016.2,74.8417
2016.2,77.7467
2016.2,76.1825
2016.21,77.5233
2016.22,78.8454
2016.23,82.7933
2016.24,80.1676
2016.25,81.4898
2016.26,76.6108
2016.27,73.9292
2016.27,72.5885
2016.27,75.2886
2016.28,71.2477
2016.28,69.9069
2016.29,68.5661
2016.29,67.2253
2016.3,65.8845
2016.3,64.5438
2016.31,63.203
2016.31,61.8622
2016.32,60.5214
2016.32,59.1806
2016.33,57.8399
2016.34,56.4991
2016.34,55.1583
2016.35,53.8175
2016.36,52.4767
2016.37,51.1359
2016.37,49.7952
2016.38,48.4544
2016.39,47.1136
2016.4,45.7728
2016.41,44.432
2016.42,43.0912
2016.43,41.7691
2016.44,40.4283
2016.45,39.0875
2016.45,38.3426
2016.45,37.7467
2016.46,37.0205
2016.49,36.797
2016.51,38.175
2016.55,39.4041
2016.56,37.5419
2016.57,37.7095
2016.59,36.3873
2016.6,35.0652
2016.62,33.743
2016.63,32.4209
2016.64,31.7318
2016.64,31.0987
2016.66,30.4469
2016.7,31.676
2016.73,32.9609
2016.74,32.8678
2016.75,33.3333
2016.76,34.2458
2016.8,35.3445
2016.81,35.4376
2016.83,34.0596
2016.85,32.7374
2016.86,31.4153
2016.88,30.0931
2016.91,28.7896
2016.94,27.5419
2016.97,26.2942
2017,24.9907
2017.02,23.6685
