gadm_id,gadm_name,country,polygon_level,home_to_ping_distance_category,distance_category_ping_fraction,ds,_source_file
IDN.7.5_1,Jakarta Utara,IDN,2,100+,0.0032033502969445,2025-10-31,1922039342088483_2025-10-31.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,0,0.4109377539869562,2025-10-31,1922039342088483_2025-10-31.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"(0, 10)",0.5706053167661204,2025-10-31,1922039342088483_2025-10-31.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"[10, 100)",0.0169294968232275,2025-10-31,1922039342088483_2025-10-31.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,100+,0.0015417412943666,2025-10-31,1922039342088483_2025-10-31.csv
IDN.7.1_1,Jakarta Barat,IDN,2,0,0.39720133513843,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"(0, 10)",0.5626497276006404,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"[10, 100)",0.0377372695818751,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.1_1,Jakarta Barat,IDN,2,100+,0.0024490693000135,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,0,0.3862779296583419,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"(0, 10)",0.566472560992061,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"[10, 100)",0.0414069955594021,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,100+,0.005856291783322,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,0,0.3900620231347572,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"(0, 10)",0.5583976555199011,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"[10, 100)",0.0485771935227833,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,100+,0.0029582841558145,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.4_1,Jakarta Timur,IDN,2,0,0.3976021099082029,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"(0, 10)",0.542743799309276,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"[10, 100)",0.0569623387122046,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.4_1,Jakarta Timur,IDN,2,100+,0.0026887691229639,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.5_1,Jakarta Utara,IDN,2,0,0.3961091005143997,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"(0, 10)",0.5587894888715448,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"[10, 100)",0.0423091699513464,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.5_1,Jakarta Utara,IDN,2,100+,0.0027849283105225,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,0,0.4036985084081507,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"(0, 10)",0.5799404537472198,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"[10, 100)",0.0153906920349603,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,100+,0.0011261225224163,2025-10-30,1922039342088483_2025-10-30.csv
IDN.7.1_1,Jakarta Barat,IDN,2,0,0.3955383853184585,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"(0, 10)",0.5634552947172052,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"[10, 100)",0.0384412797427641,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.1_1,Jakarta Barat,IDN,2,100+,0.0025708721011305,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,0,0.3820623972149172,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"(0, 10)",0.5707261288282999,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"[10, 100)",0.0405879265374139,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,100+,0.0066486160764398,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,0,0.3888698171953423,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"(0, 10)",0.5593764495701684,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"[10, 100)",0.0489920274145555,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,100+,0.0027490190843918,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.4_1,Jakarta Timur,IDN,2,0,0.3946426349420956,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"(0, 10)",0.5446626259660956,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"[10, 100)",0.0582566766793021,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.4_1,Jakarta Timur,IDN,2,100+,0.0024241164001087,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.5_1,Jakarta Utara,IDN,2,0,0.3961229351884651,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"(0, 10)",0.5582671628744509,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"[10, 100)",0.042849556870407,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.5_1,Jakarta Utara,IDN,2,100+,0.0027637893185934,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,0,0.3985107283970429,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"(0, 10)",0.581341494179167,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"[10, 100)",0.017045386283686,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,100+,0.000922687149439,2025-10-29,1922039342088483_2025-10-29.csv
IDN.7.1_1,Jakarta Barat,IDN,2,0,0.3940378561789178,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"(0, 10)",0.5653162446504405,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"[10, 100)",0.0383650572095167,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.1_1,Jakarta Barat,IDN,2,100+,0.0022756890378041,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,0,0.3866230078690648,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"(0, 10)",0.5671899502959533,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"[10, 100)",0.0408349311824285,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,100+,0.0053554447798361,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,0,0.3908105459858921,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"(0, 10)",0.5579601783851607,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"[10, 100)",0.0484029466995063,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,100+,0.0028199952777193,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.4_1,Jakarta Timur,IDN,2,0,0.3951073937735903,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"(0, 10)",0.5446998512697686,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"[10, 100)",0.0576522699842049,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.4_1,Jakarta Timur,IDN,2,100+,0.0025379434290206,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.5_1,Jakarta Utara,IDN,2,0,0.3914915022154998,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"(0, 10)",0.5623865972213096,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"[10, 100)",0.0431157676844104,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.5_1,Jakarta Utara,IDN,2,100+,0.0030056443968799,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,0,0.4187771609938814,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"(0, 10)",0.5712329481589228,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"[10, 100)",0.0098814509582641,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,100+,0.0007366663349051,2025-10-28,1922039342088483_2025-10-28.csv
IDN.7.1_1,Jakarta Barat,IDN,2,0,0.3975933970058682,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"(0, 10)",0.5632989540866343,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"[10, 100)",0.0368120639548887,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.1_1,Jakarta Barat,IDN,2,100+,0.0022872664320679,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,0,0.3894949914146678,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"(0, 10)",0.5659472504098181,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"[10, 100)",0.0397269234286263,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,100+,0.0047889636993276,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,0,0.3926000175165424,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"(0, 10)",0.5584044682981992,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"[10, 100)",0.0463339298545761,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,100+,0.0026572859621087,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.4_1,Jakarta Timur,IDN,2,0,0.39864963595889,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"(0, 10)",0.5422391907079464,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"[10, 100)",0.0565471282856308,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.4_1,Jakarta Timur,IDN,2,100+,0.0025549714979036,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.5_1,Jakarta Utara,IDN,2,0,0.3964198239345708,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"(0, 10)",0.5594960474566483,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.5_1,Jakarta Utara,IDN,2,"[10, 100)",0.0413040143460653,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.5_1,Jakarta Utara,IDN,2,100+,0.0027759099456655,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,0,0.4117938694116282,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"(0, 10)",0.5715350515874649,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.6_1,Kepulauan Seribu,IDN,2,"[10, 100)",0.0130664394186659,2025-10-27,1922039342088483_2025-10-27.csv
